,SEASON,TEAM,DRTG,OPP_TS
0,1997,ATL,100.3,0.51
1,1997,BOS,110.1,0.575
2,1997,CHO,107.1,0.5327
3,1997,CHI,100.7,0.5093
4,1997,CLE,100.8,0.5337
5,1997,DAL,106.0,0.542
6,1997,DEN,109.7,0.539
7,1997,DET,102.6,0.5234
8,1997,GSW,110.3,0.5586
9,1997,HOU,102.8,0.5166
10,1997,IND,102.9,0.529
11,1997,LAC,106.2,0.547
12,1997,LAL,102.3,0.5195
13,1997,MIA,99.2,0.512
14,1997,MIL,106.7,0.5444
15,1997,MIN,105.5,0.5337
16,1997,NJN,107.2,0.546
17,1997,NYK,99.5,0.5166
18,1997,ORL,104.2,0.533
19,1997,PHI,109.5,0.548
20,1997,PHO,107.1,0.5444
21,1997,POR,102.1,0.522
22,1997,SAC,107.0,0.5425
23,1997,SAS,110.8,0.554
24,1997,SEA,101.0,0.5337
25,1997,TOR,106.4,0.547
26,1997,UTA,102.6,0.5337
27,1997,VAN,110.1,0.5474
28,1997,WSB,103.7,0.5327
29,1998,ATL,102.5,0.5063
30,1998,BOS,103.5,0.5615
31,1998,CHO,103.3,0.5327
32,1998,CHI,98.4,0.5005
33,1998,CLE,97.5,0.513
34,1998,DAL,105.2,0.523
35,1998,DEN,110.6,0.556
36,1998,DET,101.8,0.5205
37,1998,GSW,103.5,0.515
38,1998,HOU,106.8,0.5366
39,1998,IND,99.5,0.5
40,1998,LAC,109.6,0.541
41,1998,LAL,102.3,0.5137
42,1998,MIA,100.5,0.5044
43,1998,MIL,103.7,0.536
44,1998,MIN,105.5,0.5254
45,1998,NJN,104.3,0.545
46,1998,NYK,98.8,0.511
47,1998,ORL,102.2,0.516
48,1998,PHI,103.3,0.528
49,1998,PHO,100.6,0.5146
50,1998,POR,100.8,0.5073
51,1998,SAC,105.0,0.526
52,1998,SAS,98.0,0.483
53,1998,SEA,102.3,0.5195
54,1998,TOR,108.9,0.5454
55,1998,UTA,103.8,0.5234
56,1998,VAN,110.2,0.548
57,1998,WAS,103.2,0.5283
58,1999,ATL,95.3,0.4797
59,1999,BOS,100.8,0.52
60,1999,CHO,100.4,0.508
61,1999,CHI,101.7,0.527
62,1999,CLE,100.1,0.5195
63,1999,DAL,103.0,0.515
64,1999,DEN,108.6,0.543
65,1999,DET,98.4,0.515
66,1999,GSW,98.9,0.502
67,1999,HOU,101.0,0.499
68,1999,IND,102.2,0.508
69,1999,LAC,107.8,0.552
