,NAME,SUFFIX
1,Alaa Abdelnaby,abdelal01
2,Kareem Abdul-Jabbar,abdulka01
3,Walt Hazzard,abdulma01
4,Mahmoud Abdul-Rauf,abdulma02
5,Tariq Abdul-Wahad,abdulta01
6,Zaid Abdul-Aziz,abdulza01
7,Shareef Abdur-Rahim,abdursh01
8,Tom Abernethy,abernto01
9,Forest Able,ablefo01
10,Álex Abrines,abrinal01
11,Precious Achiuwa,achiupr01
12,Alex Acker,ackeral01
13,Don Ackerman,ackerdo01
14,Mark Acres,acresma01
15,Bud Acton,actonbu01
16,Quincy Acy,acyqu01
17,Alvan Adams,adamsal01
18,Don Adams,adamsdo01
19,Hassan Adams,adamsha01
20,Jaylen Adams,adamsja01
21,Jordan Adams,adamsjo01
22,Michael Adams,adamsmi01
23,Steven Adams,adamsst01
24,Rafael Addison,addisra01
25,Bam Adebayo,adebaba01
26,Deng Adel,adelde01
27,Rick Adelman,adelmri01
28,Jeff Adrien,adrieje01
29,Arron Afflalo,afflaar01
30,Ochai Agbaji,agbajoc01
31,Maurice Ager,agerma01
32,Mark Aguirre,aguirma01
33,Blake Ahearn,ahearbl01
34,Danny Ainge,aingeda01
35,Alexis Ajinça,ajincal01
36,Henry Akin,akinhe01
37,Josh Akognon,akognjo01
38,DeVaughn Akoon-Purcell,akoonde01
39,Solomon Alabi,alabiso01
40,Mark Alarie,alarima01
41,Gary Alcorn,alcorga01
42,Santi Aldama,aldamsa01
43,Furkan Aldemir,aldemfu01
44,Cole Aldrich,aldrico01
45,LaMarcus Aldridge,aldrila01
46,Chuck Aleksinas,aleksch01
47,Cliff Alexander,alexacl01
48,Cory Alexander,alexaco01
49,Courtney Alexander,alexaco02
50,Gary Alexander,alexaga01
51,Joe Alexander,alexajo01
52,Kyle Alexander,alexaky01
53,Nickeil Alexander-Walker,alexani01
54,Trey Alexander,alexatr01
55,Ty-Shon Alexander,alexaty01
56,Victor Alexander,alexavi01
57,Steve Alford,alforst01
58,Rawle Alkins,alkinra01
59,Bob Allen,allenbo01
60,Grayson Allen,allengr01
61,Jarrett Allen,allenja01
62,Jerome Allen,allenje01
63,Kadeem Allen,allenka01
64,Lavoy Allen,allenla01
65,Lucius Allen,allenlu01
66,Malik Allen,allenma01
67,Randy Allen,allenra01
68,Ray Allen,allenra02
69,Timmy Allen,allenti01
70,Tony Allen,allento01
71,Odis Allison,allisod01
72,Lance Allred,allrela01
73,Darrell Allums,allumda01
74,Morris Almond,almonmo01
75,Derrick Alston,alstode01
76,Rafer Alston,alstora01
77,Peter Aluma,alumape01
78,Jose Alvarado,alvarjo01
79,John Amaechi,amaecjo01
80,Ashraf Amaya,amayaas01
81,Al-Farouq Aminu,aminual01
82,Lou Amundson,amundlo01
83,Alan Anderson,anderal01
84,Antonio Anderson,anderan02
85,Bob Anderegg,anderbo01
86,Chris Andersen,anderch01
87,Cliff Anderson,andercl01
88,Dan Anderson,anderda02
89,David Andersen,anderda03
90,Derek Anderson,anderde01
91,Dwight Anderson,anderdw01
92,Eric Anderson,anderer01
93,Greg Anderson,andergr01
94,James Anderson,anderja01
95,Jerome Anderson,anderje01
96,J.J. Anderson,anderjj01
97,Justin Anderson,anderju01
98,Kenny Anderson,anderke01
99,Kim Anderson,anderki01
100,Kyle Anderson,anderky01
101,Michael Anderson,andermi01
102,Nick Anderson,anderni01
103,Richard Anderson,anderri01
104,Ron Anderson,anderro01
105,Ryan Anderson,anderry01
106,Shandon Anderson,andersh01
107,Wally Anderzunas,anderwa01
108,Willie Anderson,anderwi01
109,Martynas Andriuškevičius,andrima01
110,Don Anielak,anieldo01
111,Ike Anigbogu,anigbik01
112,Michael Ansley,anslemi01
113,Chris Anstey,anstech01
114,Giannis Antetokounmpo,antetgi01
115,Kostas Antetokounmpo,antetko01
116,Thanasis Antetokounmpo,antetth01
117,Carmelo Anthony,anthoca01
118,Cole Anthony,anthoco01
119,Greg Anthony,anthogr01
120,Joel Anthony,anthojo01
121,Pero Antić,anticpe01
122,OG Anunoby,anunoog01
123,Keith Appling,applike01
124,Rafael Araújo,araujra01
125,Stacey Arceneaux,arcenst01
126,Robert Archibald,archiro01
127,Tiny Archibald,architi01
128,Ryan Arcidiacono,arcidry01
129,Jim Ard,ardji01
130,Gilbert Arenas,arenagi01
131,Trevor Ariza,arizatr01
132,Paul Arizin,arizipa01
133,Joe Arlauckas,arlaujo01
134,Armel Traoré,armeltr01
135,B.J. Armstrong,armstbj01
136,Bob Armstrong,armstbo01
137,Brandon Armstrong,armstbr01
138,Curly Armstrong,armstcu01
139,Darrell Armstrong,armstda01
140,Hilton Armstrong,armsthi01
141,Tate Armstrong,armstta01
142,Jesse Arnelle,arnelje01
143,Jay Arnette,arnetja01
144,Bob Arnzen,arnzebo01
145,Carlos Arroyo,arroyca01
146,Metta World Peace,artesro01
147,Darrell Arthur,arthuda01
148,John Arthurs,arthujo01
149,Jamel Artis,artisja01
150,Ömer Aşık,asikom01
151,Vincent Askew,askewvi01
152,Keith Askins,askinke01
153,Don Asmonga,asmondo01
154,Dick Atha,athadi01
155,Chucky Atkins,atkinch01
156,Al Attles,attleal01
157,Stacey Augmon,augmost01
158,D.J. Augustin,augusdj01
159,James Augustine,augusja01
