,SEASON,TEAM,DRTG,OPP_TS
1,1997,CHI,102.4,0.5336904443417564
2,1997,UTA,104.0,0.5235523164659465
3,1997,SEA,102.7,0.5120556033952516
4,1997,ATL,102.3,0.5097072521993645
5,1997,MIA,100.6,0.5163754444802517
6,1997,DET,104.4,0.5094324389784439
7,1997,HOU,104.0,0.5339868221776379
8,1997,LAL,103.7,0.5339142202214919
9,1997,POR,103.3,0.5288311730909051
10,1997,NYK,101.0,0.532992130317539
11,1997,CLE,102.4,0.5218292761532346
12,1997,CHO,108.9,0.5195620059196975
13,1997,WSB,104.9,0.5164211574753618
14,1997,IND,104.7,0.541869504303883
15,1997,PHX,108.6,0.5326714056900421
16,1997,ORL,106.0,0.5444788627746637
17,1997,MIN,107.1,0.5335361788596206
18,1997,MIL,108.3,0.5329336220334204
19,1997,LAC,107.6,0.5540379362086877
20,1997,TOR,108.0,0.5469815548483471
21,1997,SAC,108.7,0.5475609625036271
22,1997,NJN,109.7,0.5468837942291096
23,1997,GSW,112.2,0.5421046775321621
24,1997,DEN,111.2,0.5459491982106888
25,1997,PHI,111.4,0.5446004139925315
26,1997,DAL,108.2,0.5389673045446278
27,1997,BOS,111.4,0.5585275810932181
28,1997,SAS,112.3,0.5480363128071783
29,1997,VAN,111.8,0.5754264489379743
1,1998,LAL,103.7,0.48292854254028394
2,1998,SEA,103.6,0.5114253558350225
3,1998,CHI,99.8,0.5002968555103463
4,1998,UTA,105.4,0.5132478036536048
5,1998,IND,101.5,0.500119350516191
6,1998,PHX,101.8,0.5042481695989509
7,1998,MIA,102.0,0.5163462441768578
8,1998,SAS,99.4,0.5063067689443784
9,1998,ATL,104.3,0.5206504564606742
10,1998,CLE,99.1,0.5071678479947599
11,1998,NYK,100.3,0.519437179167164
12,1998,CHO,105.3,0.5146640356149373
13,1998,DET,103.5,0.5235322435821154
14,1998,NJN,106.6,0.5328134528014767
15,1998,POR,102.4,0.5276869196587082
16,1998,WAS,104.5,0.5361561167240013
17,1998,MIN,107.1,0.5283710083674863
18,1998,HOU,108.6,0.515304910788039
19,1998,ORL,103.8,0.5231699847662323
20,1998,MIL,105.6,0.5136705434899611
21,1998,PHI,105.4,0.5448688411728673
22,1998,BOS,105.3,0.5615376916276044
23,1998,SAC,106.9,0.5255892833026875
24,1998,DAL,107.2,0.5368344331828276
25,1998,LAC,111.2,0.5252143732135566
26,1998,VAN,112.0,0.556228466838932
27,1998,TOR,111.0,0.5408405155897965
28,1998,GSW,105.7,0.5477201678252642
29,1998,DEN,112.1,0.5451822763737751
1,1999,SAS,95.0,0.47970292929385894
2,1999,UTA,98.4,0.486397991886034
3,1999,POR,97.7,0.46396064930400427
4,1999,MIA,98.9,0.48761822086169876
5,1999,IND,104.4,0.4893382883532977
6,1999,DET,100.3,0.5061960352833672
7,1999,ATL,97.1,0.5152329749103943
8,1999,LAL,104.3,0.5033649602824359
9,1999,ORL,97.4,0.5194388928692636
10,1999,HOU,102.9,0.49213299159903173
11,1999,PHX,103.3,0.5175514446825931
12,1999,PHI,97.6,0.5021408161640466
13,1999,MIL,103.0,0.5079465818077803
14,1999,NYK,97.5,0.5269131746749471
15,1999,MIN,101.5,0.4991006412818686
16,1999,CHO,102.4,0.5176965412322698
17,1999,SAC,103.1,0.520426662358759
18,1999,SEA,106.2,0.5077944093463007
19,1999,TOR,103.9,0.5213920474862332
20,1999,BOS,102.4,0.5249532575866532
21,1999,CLE,101.6,0.5152435816498316
22,1999,WAS,103.7,0.5202209430882895
23,1999,DAL,104.9,0.5241104002537937
24,1999,GSW,101.1,0.5273422040859402
25,1999,NJN,103.6,0.5157508748097772
26,1999,DEN,110.4,0.5378336642400177
27,1999,VAN,107.9,0.5518714673550225
28,1999,LAC,109.7,0.5431856470465638
29,1999,CHI,103.0,0.5040362986299832
1,2000,LAL,98.2,0.4906212369569945
2,2000,POR,100.8,0.5061045672618756
3,2000,SAS,98.6,0.50239556416882
4,2000,PHX,99.0,0.4999545738762378
5,2000,UTA,102.3,0.5254774409499251
6,2000,IND,103.6,0.4897848209430591
7,2000,MIA,101.0,0.5124113095684
8,2000,SAC,102.1,0.5031302388935457
9,2000,CHO,101.4,0.5284803197021952
10,2000,MIN,103.4,0.5162317514409525
11,2000,NYK,100.9,0.5221959826996047
12,2000,DET,105.8,0.5093637097147203
13,2000,PHI,100.0,0.528204435831864
14,2000,SEA,104.6,0.5204506648729756
15,2000,ORL,101.7,0.5324352108760759
16,2000,MIL,107.9,0.5194550247553781
17,2000,TOR,104.9,0.5450604687934019
18,2000,DAL,107.2,0.520748410239687
19,2000,BOS,105.6,0.5384473781097144
20,2000,HOU,105.7,0.5522274789685295
21,2000,NJN,106.3,0.5220999243535784
22,2000,DEN,105.8,0.5290030056259152
23,2000,WAS,107.0,0.5427232360511871
24,2000,CLE,104.0,0.5239861635792635
25,2000,ATL,107.9,0.5269558423228148
26,2000,VAN,108.5,0.5438683637006715
27,2000,GSW,108.4,0.5178602371463228
28,2000,CHI,104.6,0.545901782683386
29,2000,LAC,110.1,0.5456186412865114
1,2001,SAS,98.0,0.5009509481094584
2,2001,SAC,99.6,0.502838157067351
3,2001,UTA,102.4,0.48319417341139087
4,2001,PHI,98.9,0.5017435366551339
5,2001,POR,101.8,0.4988289767679759
6,2001,DAL,102.6,0.513369571185417
7,2001,MIL,104.6,0.5116283494702278
8,2001,LAL,104.8,0.5312820915707543
9,2001,NYK,98.2,0.500753071531263
10,2001,MIA,98.5,0.5153410625665362
11,2001,TOR,103.4,0.5094805878642219
12,2001,HOU,104.2,0.5175608077706905
13,2001,CHO,99.5,0.4980019145153693
14,2001,PHX,98.0,0.5219385265034164
15,2001,MIN,103.7,0.5218148516738307
16,2001,ORL,102.1,0.5139003262693754
17,2001,SEA,105.6,0.5260742317413862
18,2001,IND,102.2,0.5185473594789749
19,2001,DET,101.8,0.543028519444079
20,2001,BOS,103.7,0.5397043938223098
21,2001,DEN,106.3,0.5233373397435898
22,2001,LAC,104.5,0.5358074913501326
23,2001,CLE,104.9,0.5147730970050974
24,2001,NJN,105.5,0.5257357400112845
25,2001,ATL,104.3,0.5109964173872041
26,2001,VAN,105.8,0.5270293796457983
27,2001,WAS,107.8,0.5194765314321687
28,2001,GSW,107.4,0.5450635552622054
29,2001,CHI,107.3,0.5459786697163481
1,2002,SAC,101.1,0.5042356906836981
2,2002,LAL,101.7,0.502666257035956
3,2002,SAS,99.7,0.4947716705059295
4,2002,NJN,99.5,0.5175371554563399
5,2002,DAL,107.7,0.5032268387647341
6,2002,MIN,105.3,0.5155285941071536
7,2002,POR,104.0,0.5117017962270637
8,2002,SEA,105.6,0.5269484743194954
9,2002,BOS,101.0,0.5147325524333781
10,2002,DET,102.4,0.5020367605362689
11,2002,PHI,100.3,0.5256166673017981
12,2002,ORL,105.3,0.5235722106262372
13,2002,UTA,104.6,0.5390183479136021
14,2002,CHO,103.3,0.524784892406046
15,2002,IND,103.8,0.5204855922593499
16,2002,MIL,107.1,0.5234501405092395
17,2002,LAC,106.0,0.5152590934995268
18,2002,TOR,103.1,0.5135404448780893
19,2002,PHX,104.0,0.5044291338582677
20,2002,WAS,106.4,0.5252914698937426
21,2002,MIA,100.2,0.5240476278014423
22,2002,CLE,108.2,0.519614911793845
23,2002,NYK,105.9,0.5404514636246233
